Array Length: 2^22

Threads:,1
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:03,4194304,0,0,1164.2,true
2024-10-25 09:12:04,4194304,1,0,1173.92,true
2024-10-25 09:12:05,4194304,2,0,1148.5,true
2024-10-25 09:12:06,4194304,3,0,1156.28,true
2024-10-25 09:12:07,4194304,4,0,1159.71,true
2024-10-25 09:12:09,4194304,5,0,1165.1,true
2024-10-25 09:12:10,4194304,6,0,1154.89,true
2024-10-25 09:12:11,4194304,7,0,1177.13,true
2024-10-25 09:12:12,4194304,8,0,1150.26,true
2024-10-25 09:12:13,4194304,9,0,1167.03,true


Threads:,2
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:14,4194304,0,0,690.554,true
2024-10-25 09:12:15,4194304,1,0,706.813,true
2024-10-25 09:12:15,4194304,2,0,693.203,true
2024-10-25 09:12:16,4194304,3,0,693.885,true
2024-10-25 09:12:17,4194304,4,0,698.837,true
2024-10-25 09:12:18,4194304,5,0,694.902,true
2024-10-25 09:12:18,4194304,6,0,692.691,true
2024-10-25 09:12:19,4194304,7,0,704.626,true
2024-10-25 09:12:20,4194304,8,0,690.343,true
2024-10-25 09:12:20,4194304,9,0,681.548,true


Threads:,3
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:21,4194304,0,0,509.407,true
2024-10-25 09:12:22,4194304,1,0,507.609,true
2024-10-25 09:12:22,4194304,2,0,507.653,true
2024-10-25 09:12:23,4194304,3,0,517.648,true
2024-10-25 09:12:23,4194304,4,0,511.473,true
2024-10-25 09:12:24,4194304,5,0,503.672,true
2024-10-25 09:12:24,4194304,6,0,504.834,true
2024-10-25 09:12:25,4194304,7,0,510.929,true
2024-10-25 09:12:25,4194304,8,0,497.228,true
2024-10-25 09:12:26,4194304,9,0,507.764,true


Threads:,4
Timestamp,Array Length,Iteration,GPU Time (ms),CPU Time (ms),Is Correct
2024-10-25 09:12:26,4194304,0,0,369.625,true
2024-10-25 09:12:27,4194304,1,0,371.86,true
2024-10-25 09:12:27,4194304,2,0,365.903,true
2024-10-25 09:12:27,4194304,3,0,372.535,true
2024-10-25 09:12:28,4194304,4,0,368.913,true
2024-10-25 09:12:28,4194304,5,0,370.218,true
2024-10-25 09:12:29,4194304,6,0,373.335,true
2024-10-25 09:12:29,4194304,7,0,370.532,true
2024-10-25 09:12:29,4194304,8,0,376.673,true
